Frame,Time_Sec,Center_X,Center_Y,Angle_rad
511,2.5550,170.4487,343.1292,-0.2070
512,2.5600,136.7522,337.4416,-0.2234
513,2.5650,111.6722,331.6445,-0.2357
514,2.5700,89.0661,327.0150,-0.2468
515,2.5750,72.6609,323.3391,-0.2548
516,2.5800,65.4005,320.9442,-0.2584
517,2.5850,61.3624,319.9765,-0.2604
518,2.5900,62.7896,322.5961,-0.2597
519,2.5950,75.3091,323.6146,-0.2535
520,2.6000,93.3376,328.3498,-0.2447
521,2.6050,115.7697,334.7694,-0.2337
522,2.6100,143.7887,338.2911,-0.2200
523,2.6150,179.4382,344.3755,-0.2026
524,2.6200,219.4419,350.7010,-0.1832
525,2.6250,254.5664,356.6316,-0.1662
526,2.6300,305.5336,360.5385,-0.1417
527,2.6350,356.2742,363.0915,-0.1173
528,2.6400,399.1204,363.9901,-0.0968
529,2.6450,451.7102,363.9667,-0.0717
530,2.6500,502.9161,361.4183,-0.0472
531,2.6550,544.3524,358.6264,-0.0275
532,2.6600,598.9671,352.3742,-0.0015
533,2.6650,640.2843,346.6811,0.0182
534,2.6700,674.1977,340.8075,0.0344
535,2.6750,709.2903,332.8994,0.0511
536,2.6800,738.8104,326.7567,0.0652
537,2.6850,756.8563,323.3378,0.0738
538,2.6900,774.5904,317.5115,0.0822
539,2.6950,784.3605,315.1369,0.0869
540,2.7000,787.9021,313.5320,0.0886
541,2.7050,785.4384,314.5580,0.0874
542,2.7100,775.2430,317.7731,0.0826
543,2.7150,761.5704,321.3569,0.0760
544,2.7200,739.9907,328.0357,0.0657
545,2.7250,706.0818,335.9963,0.0495
546,2.7300,677.3449,341.3560,0.0359
547,2.7350,638.0665,347.8421,0.0171
548,2.7400,594.9550,353.8552,-0.0034
549,2.7450,555.1719,358.9229,-0.0223
550,2.7500,504.9492,362.0588,-0.0463
551,2.7550,453.4279,364.4650,-0.0708
552,2.7600,409.4715,364.2459,-0.0918
553,2.7650,358.4210,363.1642,-0.1163
554,2.7700,306.6343,360.4719,-0.1412
555,2.7750,265.8755,356.2367,-0.1608
556,2.7800,215.5885,351.0151,-0.1851
557,2.7850,174.5880,343.8166,-0.2050
558,2.7900,145.4287,339.1750,-0.2192
559,2.7950,111.7583,331.2855,-0.2357
560,2.8000,88.5724,325.7245,-0.2470
561,2.8050,74.7857,323.5746,-0.2538
562,2.8100,66.5101,321.0376,-0.2579
563,2.8150,63.6352,320.1639,-0.2593
564,2.8200,68.9654,321.6369,-0.2567
565,2.8250,77.7784,327.2632,-0.2523
566,2.8300,98.5848,328.4843,-0.2421
567,2.8350,119.3203,333.4636,-0.2320
568,2.8400,149.8616,341.4069,-0.2170
569,2.8450,185.9902,346.3682,-0.1995
570,2.8500,222.1300,350.9768,-0.1819
571,2.8550,266.7000,356.5489,-0.1604
572,2.8600,315.4983,361.0979,-0.1369
573,2.8650,358.6189,363.2905,-0.1162
574,2.8700,408.7379,364.7808,-0.0922
575,2.8750,460.6453,363.8343,-0.0674
576,2.8800,504.6889,361.4913,-0.0464
577,2.8850,553.4985,357.1194,-0.0231
578,2.8900,599.9872,352.3268,-0.0010
579,2.8950,642.9786,345.5649,0.0195
580,2.9000,681.6935,339.0167,0.0379
581,2.9050,713.8856,332.1259,0.0533
582,2.9100,741.2911,326.1340,0.0663
583,2.9150,762.4398,320.8070,0.0764
